timestamp,open,high,low,close
2017-12-14,314.1900,314.6200,313.2700,314.0000
2017-12-13,313.4900,314.6800,313.4100,314.3500
2017-12-12,314.5800,314.5800,313.3500,313.3500
2017-12-11,313.2600,314.9000,313.1700,314.3600
2017-12-10,313.2600,313.7600,313.0700,313.5800
2017-12-08,314.5600,315.1300,313.2600,313.6800
2017-12-07,313.8900,315.1100,313.7500,314.6900
2017-12-06,313.8400,314.6500,313.5900,314.1000
2017-12-05,313.4900,314.3100,312.8300,313.7300
2017-12-04,313.4400,313.9300,312.5100,313.3200
2017-12-03,313.6800,313.6800,313.0300,313.5600
2017-12-01,312.6800,314.1100,312.6200,313.5900
2017-11-30,311.8000,313.4000,311.5600,312.9900
2017-11-29,310.4200,312.0400,310.3300,311.6700
2017-11-28,310.5500,311.4200,310.3000,310.7800
2017-11-27,311.7200,312.0200,310.2600,310.6500
2017-11-26,311.6300,312.2400,311.2600,311.7300
2017-11-24,312.2300,312.5100,311.2100,311.6800
2017-11-23,312.9400,313.4400,311.8000,312.2900
2017-11-22,313.1600,313.8300,312.3800,312.9000
2017-11-21,312.2500,314.1900,311.9000,313.3700
2017-11-20,311.5400,312.5800,311.3000,312.1400
2017-11-19,311.9200,311.9200,311.3900,311.7200
2017-11-17,311.5800,312.4000,311.0000,311.5900
2017-11-16,311.8000,312.8100,311.3400,311.6600
2017-11-15,311.4800,312.5700,310.9200,312.0400
2017-11-14,311.4500,312.1500,311.1700,311.4800
2017-11-13,311.5000,312.2000,311.1400,311.5400
2017-11-12,311.4600,311.6200,311.1000,311.4600
2017-11-10,311.6600,312.3900,311.2100,311.5300
2017-11-09,311.6100,312.3800,311.3000,311.8500
2017-11-08,311.3900,312.1600,310.7600,311.4700
2017-11-07,310.7200,311.8300,310.4000,311.4700
2017-11-06,310.4400,311.4600,310.2800,310.8600
2017-11-05,310.6300,310.7000,310.1000,310.5900
2017-11-03,310.4700,311.1200,309.9600,310.3600
2017-11-02,310.6900,311.5100,309.7700,310.7600
2017-11-01,310.9700,312.0200,310.2500,310.7400
2017-10-31,310.7300,311.6200,310.4800,311.2300
2017-10-30,309.8300,311.3200,309.6400,310.8800
2017-10-29,309.7900,310.3800,309.7100,310.3500
2017-10-27,310.2600,311.7200,309.7700,309.7700
2017-10-26,309.8700,311.4300,309.4500,310.3900
2017-10-25,309.6100,310.6000,309.4000,310.1900
2017-10-24,307.7200,310.3600,307.5600,309.8300
2017-10-23,307.4100,308.5700,307.2400,307.9400
2017-10-22,307.9300,307.9900,307.2800,307.5900
2017-10-20,307.3700,308.5100,307.0800,307.5500
2017-10-19,307.7100,308.7300,307.1000,307.5700
2017-10-18,307.9000,308.4300,307.4100,308.0100
2017-10-17,307.3700,308.2800,306.8600,308.0800
2017-10-16,307.7700,308.4900,307.0300,307.6700
2017-10-15,308.1400,308.1400,307.7100,307.8200
2017-10-13,308.5600,309.4100,307.4300,307.7100
2017-10-12,309.1100,309.4400,308.1000,308.4600
2017-10-11,310.6200,310.8300,308.7100,308.9500
2017-10-10,311.5700,311.9100,309.7700,310.8000
2017-10-09,311.8400,312.5600,311.1000,311.7600
2017-10-08,312.1300,312.1800,311.4700,312.1800
2017-10-06,311.4800,312.5600,310.8500,311.9700
2017-10-05,311.8500,311.9000,310.4700,311.7800
2017-10-04,311.8600,312.2300,310.6600,311.7700
2017-10-03,311.4400,312.4200,311.1800,311.9500
2017-10-02,311.3900,312.4400,310.7700,311.8000
2017-10-01,311.6100,312.1100,311.0300,311.4200
2017-09-29,310.6900,311.7300,309.9900,311.1700
2017-09-28,311.0900,311.8800,310.1700,310.8400
2017-09-27,310.8700,311.9300,310.3800,311.1600
2017-09-26,310.3000,311.5400,309.9400,311.2300
2017-09-25,309.4800,311.5000,309.2600,310.3800
2017-09-24,309.6700,309.7700,308.4200,309.4600
2017-09-22,310.0600,310.0600,308.9300,309.5000
2017-09-21,308.4500,310.7800,308.3600,310.0500
2017-09-20,307.7600,309.0000,307.5800,308.6400
2017-09-19,309.2200,309.6800,307.2300,308.0900
2017-09-18,309.2200,309.9200,308.7300,309.1300
2017-09-17,309.0100,309.3000,308.6000,309.1900
2017-09-15,308.0800,309.5700,307.9700,309.1600
2017-09-14,307.6400,308.9500,307.3200,308.4000
2017-09-13,306.9900,308.3600,306.6800,307.7800
2017-09-12,306.2500,307.3600,305.9200,307.0500
2017-09-11,306.3100,306.9600,305.7400,306.3600
2017-09-10,306.5600,306.5600,305.6000,306.3000
2017-09-08,305.6400,306.7600,305.1000,306.2900
2017-09-07,305.9800,306.6000,305.0100,305.6400
2017-09-06,305.8200,306.6000,305.6300,306.2400
2017-09-05,305.5900,306.4000,305.2400,306.0200
2017-09-04,305.1000,306.2100,304.9300,305.5300
2017-09-03,305.6400,305.6400,305.0000,305.4200
2017-09-01,305.5800,305.9300,304.4200,305.2600
2017-08-31,305.3900,306.6300,305.1600,305.7400
2017-08-30,305.6200,306.1200,305.0800,305.6100
2017-08-29,303.7300,305.9000,303.7300,305.6300
2017-08-28,304.4300,304.5600,303.5200,303.8900
2017-08-27,303.8400,304.4300,303.7500,304.3700
2017-08-25,303.8900,305.0200,303.5600,304.1100
2017-08-24,302.2600,304.8000,301.4700,304.0500
2017-08-23,302.5000,303.4500,301.8100,302.6200
2017-08-22,302.7800,303.9200,302.5800,302.8000
2017-08-21,303.1700,303.7500,302.6400,302.9800
2017-08-20,303.3300,303.7700,302.8400,303.1600
2017-08-18,303.5000,303.9100,302.7200,303.1800
2017-08-17,304.3200,304.6500,303.1100,303.7500
2017-08-16,304.0700,304.4700,303.3400,304.1200
2017-08-15,303.8200,304.5300,303.5400,304.1100
2017-08-14,304.3600,304.5700,303.5600,303.9900
2017-08-13,304.2000,304.6500,304.0400,304.2600
2017-08-11,305.4800,305.9200,304.0600,304.4500
2017-08-10,305.0700,305.8100,304.7500,305.5600
2017-08-09,303.7800,305.7400,303.6800,305.4000
2017-08-08,304.0100,304.6300,303.6600,304.0400
2017-08-07,304.5200,304.8600,303.4000,303.9600
2017-08-06,304.4300,304.7700,304.0000,304.6000
2017-08-04,303.3600,305.1400,303.2000,304.5200
2017-08-03,303.1100,304.1100,302.6200,303.5900
2017-08-02,303.4100,304.3100,302.6300,303.0300
2017-08-01,303.5900,304.6100,302.6200,303.4700
2017-07-31,304.1900,305.0200,303.5100,303.8500
2017-07-30,304.4000,304.6300,304.0800,304.4200
2017-07-28,304.9900,305.5300,304.1100,304.3600
2017-07-27,304.5400,305.6300,304.3000,305.3700
2017-07-26,305.0300,306.1900,304.3400,304.7200
2017-07-25,304.7900,305.7200,304.6000,305.2800
2017-07-24,305.1800,305.6600,304.3200,304.9000
2017-07-23,305.4400,305.5400,304.7300,305.4300
2017-07-21,304.8600,305.6800,304.4400,305.0200
2017-07-20,305.7100,306.2000,304.6900,305.0200
2017-07-19,305.5600,306.6700,305.2400,305.9700
2017-07-18,306.4000,307.0800,305.3600,305.7800
2017-07-17,305.8500,307.2600,305.4000,306.4400
2017-07-16,305.8100,306.5500,305.6300,305.8200
2017-07-14,306.1400,306.6900,305.3700,305.6600
2017-07-13,306.8700,307.5700,305.9900,306.2500
2017-07-12,307.4600,307.9500,306.3800,306.8700
2017-07-11,307.8200,308.4200,307.0700,307.5800
2017-07-10,307.6800,308.2500,307.2000,308.0500
2017-07-09,307.7500,308.0000,307.3800,307.6100
2017-07-07,307.8000,308.7100,307.2800,308.3200
2017-07-06,308.5700,309.6000,307.7000,307.8900
2017-07-05,307.8300,309.1700,307.4100,308.6300
2017-07-04,308.6100,308.9300,307.5200,307.9900
2017-07-03,308.3800,309.2900,308.1900,308.6700
2017-07-02,308.4700,308.8400,308.3600,308.6100
2017-06-30,309.4600,309.9800,308.2100,308.5500
2017-06-29,309.1400,310.2900,308.9500,309.6500
2017-06-28,309.8700,310.2000,308.3400,309.4400
